,1 month,1 month,6 month,6 month,12 month,12 month,36 month,36 month,60 month,60 month
,Normal_IC,Rank_IC,Normal_IC,Rank_IC,Normal_IC,Rank_IC,Normal_IC,Rank_IC,Normal_IC,Rank_IC
N,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,752.0,752.0
Minimum,-0.4232920438171748,-0.393716996696681,-0.39484539569626187,-0.46067549233707483,-0.36848916972886847,-0.42770662537980597,-0.4673357938248177,-0.4725739339443975,-0.5148959159078393,-0.5015174292041342
25%,-0.04623934438769036,-0.04740589823956133,-0.04875173473888392,-0.03523194956817878,-0.05686015936488211,-0.03108441020358365,-0.0694517760155322,-0.03812648500274718,-0.07152302702303615,-0.03992768323692268
50%,-0.008582311428687121,0.002194299025904318,0.0029023287618098054,0.029698416149816904,0.0028377921942425444,0.040407231285167725,-0.0038402351525442975,0.034278329632471315,-0.014514054341057698,0.025995895426587687
75%,0.02854789003530757,0.05444712520767011,0.05229955141360694,0.0864125454052951,0.06000257630197909,0.09892658670150535,0.046728752261496975,0.0936334485119984,0.03711098401351964,0.08296082413415976
Maximum,0.2622806854253428,0.34829904013161,0.42131557665576,0.4380416781408206,0.44652785603653655,0.44830490708015336,0.32346998356741086,0.3336734369208317,0.35129707276837746,0.35117711331450047
Mean,-0.009848628693528452,0.0003010808122210035,-0.0008867533569452666,0.022635487791007033,-0.0009158613108031245,0.030422327342618825,-0.014169969034035043,0.0215758805405281,-0.021620820326519467,0.016469813748372204
SD,0.06936703796935847,0.09413646051979042,0.09217586885024275,0.11237749898205628,0.10248161452089605,0.11674999385888939,0.10476900292047214,0.1117724345534066,0.09999499968805325,0.10522918506088329
